Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Iteration 583, Error: 0.005371099452994521
Iteration 584, Error: 0.005363223811729156
Iteration 585, Error: 0.005361916750371343
Iteration 586, Error: 0.005354392529195451
Iteration 587, Error: 0.005352702578241164
Iteration 588, Error: 0.005345527954090379
Iteration 589, Error: 0.005343457550529784
Iteration 590, Error: 0.005336630690615962
Iteration 591, Error: 0.00533418227599558
Iteration 592, Error: 0.005327701338207369
Iteration 593, Error: 0.005324877358229507
Iteration 594, Error: 0.0053187404915409076
Iteration 595, Error: 0.005315543395675526
Iteration 596, Error: 0.005309748740528697
Iteration 597, Error: 0.005306180981635933
Iteration 598, Error: 0.0053007266703444245
Iteration 599, Error: 0.0052967907042784645
Iteration 600, Error: 0.0052916748613967
Iteration 601, Error: 0.005287373146660279
Iteration 602, Error: 0.005282593889357479
Iteration 603, Error: 0.00527792888672618
Iteration 604, Error: 0.005273484325162059
Iteration 605, Error: 0.005268458497326378
Iteration 606, Error: 0.005264346735012637
Iteration 607, Error: 0.005258962546236923
Iteration 608, Error: 0.0052551816804013995
Iteration 609, Error: 0.005249441596165916
Iteration 610, Error: 0.005245989718097199
Iteration 611, Error: 0.005239896204772165
Iteration 612, Error: 0.005236771400161544
Iteration 613, Error: 0.005230326924681172
Iteration 614, Error: 0.005227527273974353
Iteration 615, Error: 0.0052207343035046705
Iteration 616, Error: 0.005218257882219746
Iteration 617, Error: 0.005211118883847732
Iteration 618, Error: 0.0052089637629180174
Iteration 619, Error: 0.005201481203332747
Iteration 620, Error: 0.00519964544942475
Iteration 621, Error: 0.0051918217946207434
Iteration 622, Error: 0.005190404645372126
Iteration 623, Error: 0.005182141185424705
Iteration 624, Error: 0.005181402900539034
Iteration 625, Error: 0.005172619832501724
Iteration 626, Error: 0.00517237580741714
Iteration 627, Error: 0.005163579059307644
Iteration 628, Error: 0.005163323888921489
Iteration 629, Error: 0.0051545551593310535
Iteration 630, Error: 0.005154247663520906
Iteration 631, Error: 0.005145793316105873
Iteration 632, Error: 0.005145147645270853
Iteration 633, Error: 0.005137005950037299
Iteration 634, Error: 0.00513602434380811
Iteration 635, Error: 0.005128193566032557
Iteration 636, Error: 0.005126878264376522
Iteration 637, Error: 0.005119356664883057
Iteration 638, Error: 0.005117709907831447
Iteration 639, Error: 0.005110495743278598
Iteration 640, Error: 0.005108519770646858
Iteration 641, Error: 0.005101611293807373
Iteration 642, Error: 0.005099308344940212
Iteration 643, Error: 0.005092703804976395
Iteration 644, Error: 0.0050900761184751175
Iteration 645, Error: 0.005083773761207944
Iteration 646, Error: 0.005080823574687088
Iteration 647, Error: 0.0050748216428546655
Iteration 648, Error: 0.005071551192687096
Iteration 649, Error: 0.005065847926210232
Iteration 650, Error: 0.005062259447282003
Iteration 651, Error: 0.005056853083525326
Iteration 652, Error: 0.00505294880898699
Iteration 653, Error: 0.005047837583003201
Iteration 654, Error: 0.005043619744037109
Iteration 655, Error: 0.005038801888813893
Iteration 656, Error: 0.005034272714422805
Iteration 657, Error: 0.0050297464611217535
Iteration 658, Error: 0.005024908177881926
Iteration 659, Error: 0.005020671756079231
Iteration 660, Error: 0.005015526587931696
Iteration 661, Error: 0.005011578225856184
Iteration 662, Error: 0.005006128393875819
Iteration 663, Error: 0.005002466318628329
Iteration 664, Error: 0.004996714040834682
Iteration 665, Error: 0.004993336478617216
Iteration 666, Error: 0.004987283969743572
Iteration 667, Error: 0.004984189146092888
Iteration 668, Error: 0.004977838617397978
Iteration 669, Error: 0.004975024757382762
Iteration 670, Error: 0.004968378416451813
Iteration 671, Error: 0.004965843744886733
Iteration 672, Error: 0.004958903795439618
Iteration 673, Error: 0.00495664653710115
Iteration 674, Error: 0.004949415178798766
Iteration 675, Error: 0.0049474335586268126
Iteration 676, Error: 0.004939912986886341
Iteration 677, Error: 0.004938205230186732
Iteration 678, Error: 0.004930397636003114
Iteration 679, Error: 0.004928961968639456
Iteration 680, Error: 0.004920869538406869
Iteration 681, Error: 0.004919788423764615
Iteration 682, Error: 0.004911378188535487
Iteration 683, Error: 0.004910819067908356
Iteration 684, Error: 0.0049021990298658835
Iteration 685, Error: 0.004901833711539183
